ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime,dnssec_status,non_existence_proof_method,score,grade,algorithms,digest_algorithms,raw_result
DE0003,Universität Hohenheim,public,University,No,www.uni-hohenheim.de,DE11,Stuttgart,Stuttgart,DE111,"Stuttgart, Stadtkreis","Stuttgart, Stadtkreis",2025-02-07 21:26:27.304434,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""uni-hohenheim.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-hohenheim.de."", ""type"": 6, ""TTL"": 784, ""data"": ""ns1.uni-hohenheim.de. hostmaster.uni-hohenheim.de. 2025020699 21600 3600 604800 3600""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uni-hohenheim.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-hohenheim.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""ns1.uni-hohenheim.de. hostmaster.uni-hohenheim.de. 2025020699 21600 3600 604800 3600""}], ""Comment"": ""Response from 2001:7c0::53:10.""}}"
DE0001,Albert-Ludwigs-Universität Freiburg,public,University,Yes,www.uni-freiburg.de,DE13,Freiburg,Freiburg,DE131,"Freiburg im Breisgau, Stadtkreis","Freiburg im Breisgau, Stadtkreis",2025-02-07 21:26:27.339436,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""uni-freiburg.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-freiburg.de."", ""type"": 6, ""TTL"": 900, ""data"": ""dhcp.fun.uni-freiburg.de. hostmaster.rz.uni-freiburg.de. 1190830185 10800 3600 2419200 900""}], ""Comment"": ""Response from 2001:7c0:0:253::133.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uni-freiburg.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-freiburg.de."", ""type"": 6, ""TTL"": 900, ""data"": ""dhcp.fun.uni-freiburg.de. hostmaster.rz.uni-freiburg.de. 1190830185 10800 3600 2419200 900""}], ""Comment"": ""Response from 2001:7c0:0:253::133.""}}"
DE0002,Ruprecht-Karls-Universität Heidelberg,public,University,Yes,www.uni-heidelberg.de,DE12,Karlsruhe,Karlsruhe,DE125,"Heidelberg, Stadtkreis","Heidelberg, Stadtkreis",2025-02-07 21:26:27.359449,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""uni-heidelberg.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-heidelberg.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns.uni-heidelberg.de. net-bugs.urz.uni-heidelberg.de. 202502051 21600 1800 2419200 3600""}], ""Comment"": ""Response from 129.143.253.133.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uni-heidelberg.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-heidelberg.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns.uni-heidelberg.de. net-bugs.urz.uni-heidelberg.de. 202502051 21600 1800 2419200 3600""}], ""Comment"": ""Response from 129.206.210.127.""}}"
DE0005,Universität Konstanz,public,University,Yes,www.uni-konstanz.de,DE13,Freiburg,Freiburg,DE138,Konstanz,Konstanz,2025-02-07 21:26:27.379434,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""uni-konstanz.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-konstanz.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""uranos.rz.uni-konstanz.de. hostmaster.uni-konstanz.de. 654423151 3600 900 1209600 3600""}], ""Comment"": ""Response from 141.37.18.100.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uni-konstanz.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-konstanz.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""uranos.rz.uni-konstanz.de. hostmaster.uni-konstanz.de. 654423151 3600 900 1209600 3600""}], ""Comment"": ""Response from 2001:7c0:5f0:f504::18:100.""}}"
DE0004,Karlsruher Institut für Technologie (KIT) - Bereich Hochschule,public,University,Yes,www.kit.edu,DE12,Karlsruhe,Karlsruhe,DE122,"Karlsruhe, Stadtkreis","Karlsruhe, Stadtkreis",2025-02-07 21:26:27.394460,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""kit.edu."", ""type"": 48}], ""Authority"": [{""name"": ""kit.edu."", ""type"": 6, ""TTL"": 600, ""data"": ""ns-p-1.kit-dns.eu. hostmaster.kit.edu. 260883 10800 1800 2592000 600""}], ""Comment"": ""Response from ns-p-2.kit-dns.de.(185.237.152.53).""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""kit.edu."", ""type"": 48}], ""Authority"": [{""name"": ""kit.edu."", ""type"": 6, ""TTL"": 600, ""data"": ""ns-p-1.kit-dns.eu. hostmaster.kit.edu. 260883 10800 1800 2592000 600""}]}}"
DE0008,Eberhard Karls Universität Tübingen,public,University,Yes,www.uni-tuebingen.de,DE14,Tübingen,Tübingen,DE142,"Tübingen, Landkreis","Tübingen, Landkreis",2025-02-07 21:26:27.583132,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""uni-tuebingen.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-tuebingen.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns6.uni-tuebingen.de. hostmaster.uni-tuebingen.de. 80849322 21600 1800 2419200 10800""}], ""Comment"": ""Response from 129.143.253.133.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uni-tuebingen.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-tuebingen.de."", ""type"": 6, ""TTL"": 785, ""data"": ""dns6.uni-tuebingen.de. hostmaster.uni-tuebingen.de. 80849322 21600 1800 2419200 10800""}]}}"
DE0012,Zeppelin Universität Friedrichshafen (Priv. H),private,University,No,www.zeppelin-university.com,DE14,Tübingen,Tübingen,DE147,Bodenseekreis,Bodenseekreis,2025-02-07 21:26:27.595118,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""zeppelin-university.com."", ""type"": 48}], ""Authority"": [{""name"": ""zeppelin-university.com."", ""type"": 6, ""TTL"": 785, ""data"": ""cns1.alfahosting.info. hostmaster.alfahosting.de. 2024082087 28800 7200 604800 3600""}]}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""zeppelin-university.com."", ""type"": 48}], ""Authority"": [{""name"": ""zeppelin-university.com."", ""type"": 6, ""TTL"": 785, ""data"": ""cns1.alfahosting.info. hostmaster.alfahosting.de. 2024082087 28800 7200 604800 3600""}]}}"
DE0009,Universität Ulm,public,University,No,www.uni-ulm.de,DE14,Tübingen,Tübingen,DE144,"Ulm, Stadtkreis","Ulm, Stadtkreis",2025-02-07 21:26:27.660252,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""uni-ulm.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-ulm.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns1.uni-ulm.de. hostmaster.uni-ulm.de. 2025020708 21600 3600 1209600 3600""}], ""Comment"": ""Response from 134.60.1.112.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uni-ulm.de."", ""type"": 48}], ""Authority"": [{""name"": ""uni-ulm.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns1.uni-ulm.de. hostmaster.uni-ulm.de. 2025020708 21600 3600 1209600 3600""}], ""Comment"": ""Response from 2001:638:d:b101::1.""}}"
DE0013,Allensbach Hochschule,private,University of applied sciences,No,www.allensbach-hochschule.de,DE13,Freiburg,Freiburg,DE138,Konstanz,Konstanz,2025-02-07 21:26:27.696721,Missing,Missing,0.0,F,[],[],"{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": false, ""Question"": [{""name"": ""allensbach-hochschule.de."", ""type"": 48}], ""Authority"": [{""name"": ""allensbach-hochschule.de."", ""type"": 6, ""TTL"": 600, ""data"": ""ns1.easyname.eu. hostmaster.easyname.eu. 2024112501 10800 3600 604800 600""}], ""Comment"": ""Response from 77.244.244.138.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""allensbach-hochschule.de."", ""type"": 48}], ""Authority"": [{""name"": ""allensbach-hochschule.de."", ""type"": 6, ""TTL"": 600, ""data"": ""ns1.easyname.eu. hostmaster.easyname.eu. 2024112501 10800 3600 604800 600""}], ""Comment"": ""Response from 77.244.243.4.""}}"
DE0006,Universität Mannheim,public,University,Yes,www.uni-mannheim.de,DE12,Karlsruhe,Karlsruhe,DE126,"Mannheim, Stadtkreis","Mannheim, Stadtkreis",2025-02-07 21:26:27.766922,Valid,NSEC3,83.0,A,"[{'code': 14, 'name': 'ECDSAP384SHA384', 'classificationRFC8624': 50, 'dnsKeyType': Key Signing Key (KSK)}, {'code': 14, 'name': 'ECDSAP384SHA384', 'classificationRFC8624': 50, 'dnsKeyType': Zone Signing Key (ZSK)}, {'code': 14, 'name': 'ECDSAP384SHA384', 'classificationRFC8624': 50, 'dnsKeyType': Key Signing Key (KSK)}]","[{'code': 2, 'name': 'SHA256', 'classificationRFC8624': 100}, {'code': 2, 'name': 'SHA256', 'classificationRFC8624': 100}]","{""dnskey"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""uni-mannheim.de."", ""type"": 48}], ""Answer"": [{""name"": ""uni-mannheim.de."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 14 tbYZ6CF7dtpnFrrxyM8MBGHq4AUMD9uv7cn8bS3Acr182LE9eUS8HQh6MrQKNYq9b16F3+efMYMMgruoyg6bsZBqISOrciiHV6ejiVSOkwsALTLZnAVs3ko10Ryjz3D0""}, {""name"": ""uni-mannheim.de."", ""type"": 48, ""TTL"": 3600, ""data"": ""256 3 14 nD9tMR8WURMVzAG+p0AxE34tqSlAT6MNjnBF650/Q4BO6i/BBvAXlKSwIZzlBRg6+WO9u2Wo17EuuB0Kh0c18cofbYQAwugSp6bZzgwE6fdj74tjq/Gm5/C2HfmkefwZ""}, {""name"": ""uni-mannheim.de."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 14 2F4YCTZHFJepJrmrtu5uyDRV6ixZAHhsPsHdD1POWe+gJ26XtddqxqDEvDfgw/ZbsGxeZwOYVH17OqfX3BDSJuxxLjKQPHhTg5j29ptv2RCHNwLRGuYyX39MgE87eqTs""}], ""Comment"": ""Response from 2001:7c0:2900:60::869b:6035.""}, ""dnskeyNoValidation"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": false, ""CD"": true, ""Question"": [{""name"": ""uni-mannheim.de."", ""type"": 48}], ""Answer"": [{""name"": ""uni-mannheim.de."", ""type"": 48, ""TTL"": 3600, ""data"": ""256 3 14 nD9tMR8WURMVzAG+p0AxE34tqSlAT6MNjnBF650/Q4BO6i/BBvAXlKSwIZzlBRg6+WO9u2Wo17EuuB0Kh0c18cofbYQAwugSp6bZzgwE6fdj74tjq/Gm5/C2HfmkefwZ""}, {""name"": ""uni-mannheim.de."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 14 2F4YCTZHFJepJrmrtu5uyDRV6ixZAHhsPsHdD1POWe+gJ26XtddqxqDEvDfgw/ZbsGxeZwOYVH17OqfX3BDSJuxxLjKQPHhTg5j29ptv2RCHNwLRGuYyX39MgE87eqTs""}, {""name"": ""uni-mannheim.de."", ""type"": 48, ""TTL"": 3600, ""data"": ""257 3 14 tbYZ6CF7dtpnFrrxyM8MBGHq4AUMD9uv7cn8bS3Acr182LE9eUS8HQh6MrQKNYq9b16F3+efMYMMgruoyg6bsZBqISOrciiHV6ejiVSOkwsALTLZnAVs3ko10Ryjz3D0""}], ""Comment"": ""Response from 134.155.96.51.""}, ""ds"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""uni-mannheim.de."", ""type"": 43}], ""Answer"": [{""name"": ""uni-mannheim.de."", ""type"": 43, ""TTL"": 12154, ""data"": ""59037 14 2 776F8DB94ABEA2CDF57437D80DC06D4A237AAA9C4BC822CA0BB35E14AE76F246""}, {""name"": ""uni-mannheim.de."", ""type"": 43, ""TTL"": 12154, ""data"": ""23420 14 2 FE53A7FA29A4FB5808859F1F9D647FC72769514369218EF399BC8D61354DB79F""}]}, ""nsec"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""uni-mannheim.de."", ""type"": 47}], ""Authority"": [{""name"": ""uni-mannheim.de."", ""type"": 6, ""TTL"": 1800, ""data"": ""dns.uni-mannheim.de. dnsadmin.mail.uni-mannheim.de. 2025038185 3600 1800 3600000 3600""}], ""Comment"": ""Response from 2001:7c0:0:253::133.""}, ""nsec3Param"": {""Status"": 0, ""TC"": false, ""RD"": true, ""RA"": true, ""AD"": true, ""CD"": false, ""Question"": [{""name"": ""uni-mannheim.de."", ""type"": 51}], ""Answer"": [{""name"": ""uni-mannheim.de."", ""type"": 51, ""TTL"": 0, ""data"": ""1 0 0 766f1e249a28e9fd""}], ""Comment"": ""Response from 2001:7c0:2900:60::869b:6035.""}}"
